scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,total_pp,total_ppdt,source_link
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Kalibening,Majatengah,,2,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Kalibening,Plorengan,,1,1,1,1,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Kalibening,Sembawa,,0,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Kalibening,Sidakangen,,0,1,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Kalibening,Sidakumpul,,6,0,1,1,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Kalibening,Sirukem,,0,1,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Kalibening,Sirukun,,0,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Ambal,,0,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Binangun,,2,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Gumelar,,0,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Jlegong,,0,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Karanggondang,,3,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Karangkobar,,5,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Leksana,,0,0,4,4,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Pagerpelah,,2,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Paweden,,3,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Purwodadi,,1,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Sampang,,4,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Karangkobar,Slatri,,0,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Madukara,Bantarwaru,,1,1,1,1,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Madukara,Blitar,,0,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Madukara,Clapar,,1,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Madukara,Dawuhan,,0,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Madukara,Gununggiana,,0,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Madukara,Kaliurip,,3,0,3,3,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Madukara,Karanganyar,,0,2,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
2020-11-25,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,Madukara,Kenteng,,1,0,0,0,0,,0,0,,,http://corona.banjarnegarakab.go.id/
