scrape_date,types,user_pic,date_update,provinsi,kabkot,kecamatan,kelurahan,alamat,source_link
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Asinan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Bedana,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Gununglangit,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kalibening,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kalibombong,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kalisat kidul,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Karanganyar,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kasinoman,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kertasari,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Majatengah,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Plorengan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sembawa,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sidakangen,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sidakumpul,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sirukem,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sirukun,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Ambal,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Binangun,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Gumelar,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Jlegong,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Karanggondang,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Karangkobar,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Leksana,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pagerpelah,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Paweden,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Purwodadi,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sampang,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Slatri,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Bantarwaru,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Blitar,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Clapar,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Dawuhan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Gununggiana,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kaliurip,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Karanganyar,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kenteng,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Limbangan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Madukara,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pagelak,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pakelen,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Pekauman,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Penawangan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Petambakan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Rakitan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Rejasa,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Sered,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Talunamba,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Banjengan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Blimbing,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Candiwulan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Glempang,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Jalatunda,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kaliwungu,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kebakalan,,http://corona.banjarnegarakab.go.id/
2020-09-24,kelurahan,Alfie Qashwa,2020-09-04,Jawa Tengah,Banjarnegara,,Kebanaran,,http://corona.banjarnegarakab.go.id/
