date_update,provinsi,kabupaten_kota,kecamatan,kelurahan,alamat,total_odp,total_pdp,total_positif,positif_sembuh,positif_dirawat,positif_isolasi,positif_meninggal,total_otg,odr_total,total_pp,total_ppdt,source_link
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Surodadi           ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Gedangalas         ,     ,   8    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Sambung            ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Tambirejo          ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Mlatiharjo         ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Mojosimo           ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Medini             ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Wilalung           ,     ,   6    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Tanjunganyar       ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Gajah    ,Miekang            ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Bolorejo           ,     ,   7    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Gelas              ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Kuncir             ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Trengguli          ,     ,   6    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Mranak             ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Pilangrejo         ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Kerangkulan        ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Sidomulyo          ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Bunderan           ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Mojo demak         ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Mrisen             ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Doreng             ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Karangrowo         ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Kalianyar          ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Wonosalam          ,     ,   7    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Tlogorejo          ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Tlogodowo          ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Lempuyang          ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Karangrejo         ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Kendaldoyong       ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Wonosalam,Jogoloyo           ,     ,   11   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Cangkring B      ,     ,   6    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Undaan Lor       ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Undaan Kidul     ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Kelanjung        ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Cangkring Rembang,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Tuang            ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Wonorejo         ,     ,   9    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Ngemplik Wetan   ,     ,   4    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Karanganyar      ,     ,   15   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Ngaluran         ,     ,   8    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Kedungwaru kidul ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Kedungwaru Lor   ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Tugu Lor         ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Kotaan           ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Wonoketingal     ,     ,   13   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Jatirejo         ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Karanganyar,Bandungrejo      ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Morodemak           ,     ,   11   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Purworejo           ,     ,   16   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Sumberejo           ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Gebangarum          ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Gebang              ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Kembangan           ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Karangrejo          ,     ,   4    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Sukodono            ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Tlogoboyo           ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Margolinduk         ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Tridonorejo         ,     ,   12   ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Wonosari            ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Jatirogo            ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Pancoharjo          ,     ,   3    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Jali                ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Krojanboga          ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Serangan            ,     ,   6    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Balahwalang         ,     ,   8    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Jatimulyo           ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Weding              ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Bonang  ,Bonangrejo          ,     ,   5    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Mangunrejo        ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Tlogosih          ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Megonten          ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Sokokidul         ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Pilangwelan       ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Kebonagung        ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Mijen             ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Klampok lor       ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Werdoyo           ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Babat             ,     ,   0    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Prigi             ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Sarimulyo         ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Solowire          ,     ,   2    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Kebonagung,Mangunan lor      ,     ,   7    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Guntur  ,Temuroso            ,     ,   9    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Guntur  ,Turitempel          ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Guntur  ,Tlogoweru           ,     ,   6    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Guntur  ,Trimulyo            ,     ,   1    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
16/09/2020,Jawa Tengah,Demak       ,Guntur  ,Bakalrejo           ,     ,   4    ,,             ,              ,               ,               ,                 ,        ,         ,         ,          ,https://corona.demakkab.go.id/
